"filename", "language", "Go Checksum File", "Go", "Go Module File", "Markdown", "comment", "blank", "total"
"c:\Users\pratersm\Documents\code\s3sync\README.md", "Markdown", 0, 0, 0, 71, 0, 33, 104
"c:\Users\pratersm\Documents\code\s3sync\actions\adclear\adclear.go", "Go", 0, 34, 0, 0, 4, 11, 49
"c:\Users\pratersm\Documents\code\s3sync\actions\adclear\addclear_test.go", "Go", 0, 10, 0, 0, 0, 3, 13
"c:\Users\pratersm\Documents\code\s3sync\actions\adclear\commands.go", "Go", 0, 24, 0, 0, 0, 7, 31
"c:\Users\pratersm\Documents\code\s3sync\actions\adclear\messages.go", "Go", 0, 10, 0, 0, 0, 4, 14
"c:\Users\pratersm\Documents\code\s3sync\actions\adclear\ui.go", "Go", 0, 70, 0, 0, 5, 17, 92
"c:\Users\pratersm\Documents\code\s3sync\actions\adclear\update.go", "Go", 0, 60, 0, 0, 4, 5, 69
"c:\Users\pratersm\Documents\code\s3sync\actions\sync\commands.go", "Go", 0, 99, 0, 0, 3, 20, 122
"c:\Users\pratersm\Documents\code\s3sync\actions\sync\sync.go", "Go", 0, 61, 0, 0, 4, 17, 82
"c:\Users\pratersm\Documents\code\s3sync\actions\sync\ui.go", "Go", 0, 82, 0, 0, 4, 14, 100
"c:\Users\pratersm\Documents\code\s3sync\actions\sync\update.go", "Go", 0, 110, 0, 0, 7, 11, 128
"c:\Users\pratersm\Documents\code\s3sync\ffmpeg\ffmpeg.go", "Go", 0, 152, 0, 0, 2, 19, 173
"c:\Users\pratersm\Documents\code\s3sync\ffmpeg\ffmpeg_test.go", "Go", 0, 32, 0, 0, 0, 5, 37
"c:\Users\pratersm\Documents\code\s3sync\filesystem\filesystem.go", "Go", 0, 137, 0, 0, 9, 21, 167
"c:\Users\pratersm\Documents\code\s3sync\go.mod", "Go Module File", 0, 0, 82, 0, 0, 4, 86
"c:\Users\pratersm\Documents\code\s3sync\go.sum", "Go Checksum File", 206, 0, 0, 0, 0, 1, 207
"c:\Users\pratersm\Documents\code\s3sync\localsql\localsql.go", "Go", 0, 186, 0, 0, 12, 26, 224
"c:\Users\pratersm\Documents\code\s3sync\main.go", "Go", 0, 71, 0, 0, 0, 4, 75
"c:\Users\pratersm\Documents\code\s3sync\messages\messages.go", "Go", 0, 33, 0, 0, 1, 8, 42
"c:\Users\pratersm\Documents\code\s3sync\splitter\splitter.go", "Go", 0, 115, 0, 0, 35, 24, 174
"c:\Users\pratersm\Documents\code\s3sync\splitter\splitter_test.go", "Go", 0, 1, 0, 0, 31, 7, 39
"Total", "-", 206, 1287, 82, 71, 121, 261, 2028
